r8.2_who5_fct4,r8.2_who5_Iexcel,age_fct6,gender_fct2,eth_fct4,education_qual,r4_previnworkforce_fct3,r4.5_fct3,r7.1_fct3,income_band,r5.2_fct2,r8.17_fct2,r5.10,r9.1_fct2,r3.2_fct4,r3.3_num,r3.3_fct5,r3.7_fct3,r3.8,r4_lesswork_fct2,r5.6_fct3,r3.4,r3.10,r3.12,r8.16_1_fct2,r8.16_2_fct2,r8.16_3_fct2,r8.16_6_fct2,r8.16_4_fct2,r12.1_11_fct2,r12.1_13_fct2,r6.4_fct2,r6.5_fct2,r6_change_fct3,score,probability
3.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.8,0.00030576441904493805
1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.28,0.00022032632287762973
1.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.16,0.0002129954409911992
1.0,1.0,3.0,2.0,2.0,4.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.16,0.00010289892393317009
2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,4.0,7.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6,0.00010289892393317009
3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,6.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.8,0.00016247900035561442
1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.12,0.00024231896853692126
3.0,1.0,6.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,0.00022432498572477364
1.0,1.0,5.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.4,0.00023538795293520513
3.0,1.0,5.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.8,0.0002998997135357936
4.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,7.0,4.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.88,0.00030576441904493805
1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.00040266534870739225
2.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.64,0.00023538795293520513
2.0,1.0,6.0,1.0,0.0,4.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.00022432498572477364
3.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.84,0.0002841716396703609
3.0,1.0,6.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.72,0.00022432498572477364
2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.6,0.00016247900035561442
3.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.72,0.00023218902265749
3.0,1.0,2.0,2.0,4.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.76,0.0002796398217769311
2.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.00030576441904493805
1.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.44,0.00023218902265749
2.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.52,0.00025084944927749496
1.0,1.0,6.0,2.0,0.0,1.0,3.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,0.00030203233372093704
1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.00019833367721833818
3.0,1.0,6.0,2.0,2.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.84,0.00023218902265749
